region,zone,district,traditional_authority,facility_name,datim_code,system,hsector,period,reporting_period,sub_groups,new_women_registered,total_women_in_booking_cohort,not_tested_for_syphilis,syphilis_negative,syphilis_positive,hiv_status_not_ascertained,previous_negative,previous_positive,new_negative,new_positive,not_on_cpt,on_cpt,no_ar_vs,already_on_art_when_starting_anc,started_art_at_0_27_weeks_of_pregnancy,started_art_at_28_weeks_of_preg,no_ar_vs_dispensed_for_infant,ar_vs_dispensed_for_infant
Northern Region,Northern Zone,Chitipa,Senior TA Bulambya Songwe,Kapenda Health Centre,K9u9BIAaJJT,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),45,NA,NA,NA,NA,4,0,0,40,1,NA,NA,0,0,1,0,NA,NA
Northern Region,Northern Zone,Chitipa,Senior TA Bulambya Songwe,Kapenda Health Centre,K9u9BIAaJJT,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,55,45,10,0,7,0,0,47,1,0,1,0,1,0,0,0,1
Northern Region,Northern Zone,Chitipa,Senior TA Bulambya Songwe,Kapenda Health Centre,K9u9BIAaJJT,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),40,NA,NA,NA,NA,9,0,0,30,1,NA,NA,0,0,1,0,NA,NA
Northern Region,Northern Zone,Chitipa,Senior TA Bulambya Songwe,Kapenda Health Centre,K9u9BIAaJJT,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,44,19,25,0,4,0,1,38,1,0,2,0,1,1,0,0,2
Northern Region,Northern Zone,Chitipa,Senior TA Bulambya Songwe,Kapenda Health Centre,K9u9BIAaJJT,e-mastercard,Public,2019 Q1,3rd month of quarter,All patients (checked data),43,NA,NA,NA,NA,9,0,1,33,0,NA,NA,0,1,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,Senior TA Bulambya Songwe,Kapenda Health Centre,K9u9BIAaJJT,e-mastercard,Public,2019 Q1,3rd month of quarter,ANC women after 6 months,NA,37,5,32,0,5,1,0,31,0,0,0,0,0,0,0,0,0
Northern Region,Northern Zone,Chitipa,Senior TA Nthengatenga,Mahowe Health Centre,MxwCqnysvVZ,e-mastercard,Public,2019 Q1,1st month of quarter,All patients (checked data),32,NA,NA,NA,NA,3,3,1,25,0,NA,NA,0,1,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,Senior TA Nthengatenga,Mahowe Health Centre,MxwCqnysvVZ,e-mastercard,Public,2019 Q1,1st month of quarter,ANC women after 6 months,NA,43,43,0,0,3,5,1,34,0,0,1,0,1,0,0,0,1
Northern Region,Northern Zone,Chitipa,Senior TA Nthengatenga,Mahowe Health Centre,MxwCqnysvVZ,e-mastercard,Public,2019 Q1,2nd month of quarter,All patients (checked data),27,NA,NA,NA,NA,4,1,1,21,0,NA,NA,0,1,0,0,NA,NA
Northern Region,Northern Zone,Chitipa,Senior TA Nthengatenga,Mahowe Health Centre,MxwCqnysvVZ,e-mastercard,Public,2019 Q1,2nd month of quarter,ANC women after 6 months,NA,49,49,0,0,26,3,3,17,0,0,3,0,3,0,0,0,3
