period,period_date,hospital,outcome,newrel_cases,diagnosis_type
2015Q4,2015-10-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2015Q4,2015-10-01,St Jean De Dieu,cured,11,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2015Q3,2015-07-01,St Jean De Dieu,cured,11,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,died,1,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2016Q1,2016-01-01,St Jean De Dieu,cured,14,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
2015Q2,2015-04-01,St Jean De Dieu,cured,7,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,failed,0,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,unevaluated,0,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,died,0,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,lost,0,bacteriologically_confirmed
2015Q1,2015-01-01,St Jean De Dieu,completed,0,bacteriologically_confirmed
