zone,period,previous_negative,previous_positive,new_negative,new_positive,hiv_status_not_ascertained
Central East Zone,2019 Q1,994,1156,47471,616,2824
Central East Zone,2019 Q2,517,1036,42923,443,3209
Central East Zone,2019 Q3,1097,1158,46700,534,3583
Central East Zone,2019 Q4,595,1039,45807,399,1961
Central West Zone,2019 Q1,1568,2526,75547,1388,2131
Central West Zone,2019 Q2,1322,2567,73520,1470,1804
Central West Zone,2019 Q3,1548,2844,81099,1382,1657
Central West Zone,2019 Q4,457,2715,78921,1292,1216
Northern Zone,2019 Q1,675,1197,36196,664,1126
Northern Zone,2019 Q2,590,1084,35315,582,1301
Northern Zone,2019 Q3,542,1191,36850,570,954
Northern Zone,2019 Q4,346,1132,34322,519,747
South East Zone,2019 Q1,1583,5766,74926,1976,1454
South East Zone,2019 Q2,1672,5688,76937,1890,1566
South East Zone,2019 Q3,1910,5966,80067,1803,1243
South East Zone,2019 Q4,1504,5953,79454,1861,1385
South West Zone,2019 Q1,1775,4171,50554,1555,717
South West Zone,2019 Q2,1504,4726,53554,1747,1566
South West Zone,2019 Q3,1394,4640,55813,1618,928
South West Zone,2019 Q4,3391,4861,53118,1575,975
