area_level,area_level_label,area_id,area_name,sex,indicator,indicator_label,mean,se,median,mode,lower,upper
0,Country,MWI,Malawi,both,plhiv,PLHIV,1006632.56295478,9179.10449576261,1006782.34771446,1002246.00381005,988509.217556412,1025684.54598466
0,Country,MWI,Malawi,female,plhiv,PLHIV,621234.020376803,4844.52069494866,621186.27261477,618874.460449349,612120.58183134,631398.431627985
0,Country,MWI,Malawi,male,plhiv,PLHIV,385398.542577978,4766.18618124499,385366.293930426,383339.611145318,375845.328809326,394465.198925321
0,Country,MWI,Malawi,both,unaware_plhiv_num,Number PLHIV unaware,59520.3630712395,5869.99391708999,59336.1006625371,57686.3238973826,48645.799756747,72454.394721826
0,Country,MWI,Malawi,female,unaware_plhiv_num,Number PLHIV unaware,16265.2432890727,1602.72351485,16180.3241023471,15766.6773461413,13301.2889306702,19638.9741861137
0,Country,MWI,Malawi,male,unaware_plhiv_num,Number PLHIV unaware,43255.1197821668,4482.22984729191,42973.3945381089,41910.9112735022,34992.9843014541,53026.2887763849
0,Country,MWI,Malawi,both,aware_plhiv_num,Number PLHIV aware,947112.199883541,1758.19148010458,947153.798681868,945239.531853601,943267.565213586,950215.82947657
0,Country,MWI,Malawi,female,aware_plhiv_num,Number PLHIV aware,604968.777087731,1090.35833578568,604935.237469792,604087.072883142,602919.15199144,607117.171448756
0,Country,MWI,Malawi,male,aware_plhiv_num,Number PLHIV aware,342143.422795811,1474.48009552575,342236.004115636,341151.664808423,338979.48599647,344687.036582503
1,Region,MWI_1_1,Northern,both,plhiv,PLHIV,100651.942190566,1587.18451656902,100597.966065889,100101.19304518,97605.393880858,103787.596396568
1,Region,MWI_1_1,Northern,female,plhiv,PLHIV,59665.0807901948,868.346353417863,59660.8426291257,59372.3225194164,58003.589846035,61342.1960941695
1,Region,MWI_1_1,Northern,male,plhiv,PLHIV,40986.861400371,788.760545196843,40972.4652297065,40725.5293340327,39518.6066337145,42513.6250331163
1,Region,MWI_1_1,Northern,both,unaware_plhiv_num,Number PLHIV unaware,6563.65248043246,876.353127401895,6508.83769838174,6333.92253783076,5058.99628570102,8548.22629452715
1,Region,MWI_1_1,Northern,female,unaware_plhiv_num,Number PLHIV unaware,1740.77809591234,234.447213054426,1722.99225838164,1679.60150324392,1334.35339236081,2266.46671752362
