area_level,area_name,sex,age_group,indicator,indicator_label,mean,lower,upper
Country,Malawi,female,0-4,population,Population,1555357.2814,1555357.2814,1555357.2814
Country,Malawi,female,5-9,population,Population,1438501.6564,1438501.6564,1438501.6564
Country,Malawi,female,10-14,population,Population,1376879.6877,1376879.6877,1376879.6877
Country,Malawi,female,15-19,population,Population,1244333.25,1244333.25,1244333.25
Country,Malawi,female,20-24,population,Population,1022079.7188,1022079.7188,1022079.7188
Country,Malawi,female,25-29,population,Population,839822.3593,839822.3593,839822.3593
Country,Malawi,female,30-34,population,Population,725702.2658,725702.2658,725702.2658
Country,Malawi,female,35-39,population,Population,652014.5235,652014.5235,652014.5235
Country,Malawi,female,40-44,population,Population,523432.56252,523432.56252,523432.56252
Country,Malawi,female,45-49,population,Population,329976.34375,329976.34375,329976.34375
Country,Malawi,female,50-54,population,Population,227986.98829,227986.98829,227986.98829
Country,Malawi,female,55-59,population,Population,189815.57031,189815.57031,189815.57031
Country,Malawi,female,60-64,population,Population,145114.35937,145114.35937,145114.35937
Country,Malawi,female,65-69,population,Population,99418.8086,99418.8086,99418.8086
Country,Malawi,male,0-4,population,Population,1568480.6876,1568480.6876,1568480.6876
Country,Malawi,male,5-9,population,Population,1444380.9688,1444380.9688,1444380.9688
Country,Malawi,male,10-14,population,Population,1365360.1251,1365360.1251,1365360.1251
Country,Malawi,male,15-19,population,Population,1216711.5625,1216711.5625,1216711.5625
Country,Malawi,male,20-24,population,Population,984015.8593,984015.8593,984015.8593
Country,Malawi,male,25-29,population,Population,786145.4843,786145.4843,786145.4843
Country,Malawi,male,30-34,population,Population,634232.9453,634232.9453,634232.9453
Country,Malawi,male,35-39,population,Population,539413.9922,539413.9922,539413.9922
Country,Malawi,male,40-44,population,Population,474545.04687,474545.04687,474545.04687
Country,Malawi,male,45-49,population,Population,345117.01172,345117.01172,345117.01172
Country,Malawi,male,50-54,population,Population,220328.71093,220328.71093,220328.71093
Country,Malawi,male,55-59,population,Population,147005.5918,147005.5918,147005.5918
Country,Malawi,male,60-64,population,Population,111510.9121,111510.9121,111510.9121
