area_level,area_id,area_name,sex,age_group_label,quarter_label,indicator,mean
0,MWI,Malawi,both,all ages,December 2022,prevalence,0.0487384138747305
0,MWI,Malawi,both,0-4,December 2022,prevalence,0.00318847340486055
0,MWI,Malawi,both,5-9,December 2022,prevalence,0.00622946689100197
0,MWI,Malawi,both,10-14,December 2022,prevalence,0.0104800711805897
0,MWI,Malawi,both,15-19,December 2022,prevalence,0.0146175851215146
0,MWI,Malawi,both,20-24,December 2022,prevalence,0.0238821700205316
0,MWI,Malawi,both,25-29,December 2022,prevalence,0.0466204370924952
0,MWI,Malawi,both,30-34,December 2022,prevalence,0.0877563293545178
0,MWI,Malawi,both,35-39,December 2022,prevalence,0.136150154173275
0,MWI,Malawi,both,40-44,December 2022,prevalence,0.171229707636369
0,MWI,Malawi,both,45-49,December 2022,prevalence,0.195717572946195
0,MWI,Malawi,both,50-54,December 2022,prevalence,0.191754911283299
0,MWI,Malawi,both,55-59,December 2022,prevalence,0.152481869808572
0,MWI,Malawi,both,60-64,December 2022,prevalence,0.121136489095098
0,MWI,Malawi,both,65-69,December 2022,prevalence,0.115590184281786
0,MWI,Malawi,female,all ages,December 2022,prevalence,0.0586182341556053
0,MWI,Malawi,female,0-4,December 2022,prevalence,0.00318290119493098
0,MWI,Malawi,female,5-9,December 2022,prevalence,0.00620883657749856
0,MWI,Malawi,female,10-14,December 2022,prevalence,0.0104631122087863
0,MWI,Malawi,female,15-19,December 2022,prevalence,0.0166056903607127
0,MWI,Malawi,female,20-24,December 2022,prevalence,0.0322194558026703
0,MWI,Malawi,female,25-29,December 2022,prevalence,0.0649124233265032
0,MWI,Malawi,female,30-34,December 2022,prevalence,0.11711241893501
0,MWI,Malawi,female,35-39,December 2022,prevalence,0.174033566119787
0,MWI,Malawi,female,40-44,December 2022,prevalence,0.205478996451174
0,MWI,Malawi,female,45-49,December 2022,prevalence,0.217404497776445
0,MWI,Malawi,female,50-54,December 2022,prevalence,0.19184636472265101
0,MWI,Malawi,female,55-59,December 2022,prevalence,0.138303906669159
0,MWI,Malawi,female,60-64,December 2022,prevalence,0.107405477962895
0,MWI,Malawi,female,65-69,December 2022,prevalence,0.11189879016436
0,MWI,Malawi,male,all ages,December 2022,prevalence,0.0383259330878684
0,MWI,Malawi,male,0-4,December 2022,prevalence,0.00319399899236442
0,MWI,Malawi,male,5-9,December 2022,prevalence,0.00625001322939036
0,MWI,Malawi,male,10-14,December 2022,prevalence,0.0104971732354769
0,MWI,Malawi,male,15-19,December 2022,prevalence,0.0125843460779484
0,MWI,Malawi,male,20-24,December 2022,prevalence,0.0152223800108204
0,MWI,Malawi,male,25-29,December 2022,prevalence,0.0270795005328883
0,MWI,Malawi,male,30-34,December 2022,prevalence,0.0541664931887007
0,MWI,Malawi,male,35-39,December 2022,prevalence,0.090358730246509
0,MWI,Malawi,male,40-44,December 2022,prevalence,0.133452065393413
0,MWI,Malawi,male,45-49,December 2022,prevalence,0.174982077680395
0,MWI,Malawi,male,50-54,December 2022,prevalence,0.191660279067104
0,MWI,Malawi,male,55-59,December 2022,prevalence,0.170788643899202
0,MWI,Malawi,male,60-64,December 2022,prevalence,0.139005295352957
0,MWI,Malawi,male,65-69,December 2022,prevalence,0.120113371911649
0,MWI,Malawi,female,15-19,December 2022,anc_prevalence,0.0178945093247444
0,MWI,Malawi,female,20-24,December 2022,anc_prevalence,0.031629317133558
0,MWI,Malawi,female,25-29,December 2022,anc_prevalence,0.0579222868048327
0,MWI,Malawi,female,30-34,December 2022,anc_prevalence,0.0918355259077078
0,MWI,Malawi,female,35-39,December 2022,anc_prevalence,0.110603810751863
0,MWI,Malawi,female,40-44,December 2022,anc_prevalence,0.13255457900675
0,MWI,Malawi,female,45-49,December 2022,anc_prevalence,0.142387330973341
1,MWI_1_1,Northern,both,all ages,December 2022,prevalence,0.0381330476576787
1,MWI_1_1,Northern,both,0-4,December 2022,prevalence,0.00239854912998297
1,MWI_1_1,Northern,both,5-9,December 2022,prevalence,0.00467817647925497
1,MWI_1_1,Northern,both,10-14,December 2022,prevalence,0.00775734002074544
1,MWI_1_1,Northern,both,15-19,December 2022,prevalence,0.0107695536826333
1,MWI_1_1,Northern,both,20-24,December 2022,prevalence,0.0176344837361531
1,MWI_1_1,Northern,both,25-29,December 2022,prevalence,0.0349217402376135
1,MWI_1_1,Northern,both,30-34,December 2022,prevalence,0.066458708672754
1,MWI_1_1,Northern,both,35-39,December 2022,prevalence,0.10533180864157
1,MWI_1_1,Northern,both,40-44,December 2022,prevalence,0.133837475401739
1,MWI_1_1,Northern,both,45-49,December 2022,prevalence,0.154683237072731
1,MWI_1_1,Northern,both,50-54,December 2022,prevalence,0.151606105750524
1,MWI_1_1,Northern,both,55-59,December 2022,prevalence,0.117613809383546
1,MWI_1_1,Northern,both,60-64,December 2022,prevalence,0.0927387928449429
1,MWI_1_1,Northern,both,65-69,December 2022,prevalence,0.0876652243749128
1,MWI_1_1,Northern,female,all ages,December 2022,prevalence,0.0439106392360795
1,MWI_1_1,Northern,female,0-4,December 2022,prevalence,0.00240835909254186
1,MWI_1_1,Northern,female,5-9,December 2022,prevalence,0.00467041796074223
1,MWI_1_1,Northern,female,10-14,December 2022,prevalence,0.0077479917856419
1,MWI_1_1,Northern,female,15-19,December 2022,prevalence,0.0118141095850783
1,MWI_1_1,Northern,female,20-24,December 2022,prevalence,0.0229696220819763
1,MWI_1_1,Northern,female,25-29,December 2022,prevalence,0.0473217295067776
