"","period","orgunit","variable_name","value"
"1","2015Q4","Atacora-Donga","new_labconf",69
"2","2015Q3","Atacora-Donga","new_labconf",57
"3","2015Q2","Atacora-Donga","new_labconf",64
"4","2015Q1","Atacora-Donga","new_labconf",50
"5","2015Q4","Atacora-Donga","new_clindx",11
"6","2015Q3","Atacora-Donga","new_clindx",11
"7","2015Q2","Atacora-Donga","new_clindx",14
"8","2015Q1","Atacora-Donga","new_clindx",19
"9","2015Q4","Atacora-Donga","ret_rel_labconf",2
"10","2015Q3","Atacora-Donga","ret_rel_labconf",2
"11","2015Q2","Atacora-Donga","ret_rel_labconf",2
"12","2015Q1","Atacora-Donga","ret_rel_labconf",1
"13","2015Q4","Atacora-Donga","new_ep",6
"14","2015Q3","Atacora-Donga","new_ep",3
"15","2015Q2","Atacora-Donga","new_ep",6
"16","2015Q1","Atacora-Donga","new_ep",10
"17","2014Q4","Atacora-Donga","new_ep",5
"18","2014Q3","Atacora-Donga","new_ep",12
"19","2014Q2","Atacora-Donga","new_ep",12
"20","2014Q1","Atacora-Donga","new_ep",10
"21","2013Q4","Atacora-Donga","new_ep",5
"22","2012Q1","Atacora-Donga","new_ep",2
"23","2011Q1","Atacora-Donga","new_ep",6
"24","2013Q1","Atacora-Donga","new_ep",2
"25","2013Q2","Atacora-Donga","new_ep",2
"26","2013Q3","Atacora-Donga","new_ep",1
"27","2012Q4","Atacora-Donga","new_ep",4
"28","2012Q3","Atacora-Donga","new_ep",1
"29","2012Q2","Atacora-Donga","new_ep",3
"30","2011Q3","Atacora-Donga","new_ep",7
"31","2011Q2","Atacora-Donga","new_ep",7
"32","2011Q4","Atacora-Donga","new_ep",1
"33","2015Q4","Atacora-Donga","hivtest",90
"34","2015Q3","Atacora-Donga","hivtest",73
"35","2015Q2","Atacora-Donga","hivtest",87
"36","2015Q1","Atacora-Donga","hivtest",80
"37","2014Q4","Atacora-Donga","hivtest",71
"38","2014Q3","Atacora-Donga","hivtest",89
"39","2014Q2","Atacora-Donga","hivtest",86
"40","2014Q1","Atacora-Donga","hivtest",87
"41","2013Q4","Atacora-Donga","hivtest",71
"42","2012Q1","Atacora-Donga","hivtest",81
"43","2011Q1","Atacora-Donga","hivtest",69
"44","2013Q1","Atacora-Donga","hivtest",69
"45","2013Q2","Atacora-Donga","hivtest",47
"46","2013Q3","Atacora-Donga","hivtest",57
"47","2012Q4","Atacora-Donga","hivtest",66
"48","2012Q3","Atacora-Donga","hivtest",75
"49","2012Q2","Atacora-Donga","hivtest",55
"50","2011Q3","Atacora-Donga","hivtest",62
"51","2011Q2","Atacora-Donga","hivtest",57
"52","2011Q4","Atacora-Donga","hivtest",55
"53","2015Q4","Atacora-Donga","hivtest_pos",21
"54","2015Q3","Atacora-Donga","hivtest_pos",15
"55","2015Q2","Atacora-Donga","hivtest_pos",19
"56","2015Q1","Atacora-Donga","hivtest_pos",17
"57","2014Q4","Atacora-Donga","hivtest_pos",12
"58","2014Q3","Atacora-Donga","hivtest_pos",13
"59","2014Q2","Atacora-Donga","hivtest_pos",21
"60","2014Q1","Atacora-Donga","hivtest_pos",19
"61","2013Q4","Atacora-Donga","hivtest_pos",16
"62","2012Q1","Atacora-Donga","hivtest_pos",19
"63","2011Q1","Atacora-Donga","hivtest_pos",21
"64","2013Q1","Atacora-Donga","hivtest_pos",19
"65","2013Q2","Atacora-Donga","hivtest_pos",8
"66","2013Q3","Atacora-Donga","hivtest_pos",10
"67","2012Q4","Atacora-Donga","hivtest_pos",15
"68","2012Q3","Atacora-Donga","hivtest_pos",16
"69","2012Q2","Atacora-Donga","hivtest_pos",11
"70","2011Q3","Atacora-Donga","hivtest_pos",19
"71","2011Q2","Atacora-Donga","hivtest_pos",13
"72","2011Q4","Atacora-Donga","hivtest_pos",12
"73","2015Q4","Atacora-Donga","hiv_cpt",21
"74","2015Q3","Atacora-Donga","hiv_cpt",15
"75","2015Q2","Atacora-Donga","hiv_cpt",19
"76","2015Q1","Atacora-Donga","hiv_cpt",17
"77","2014Q4","Atacora-Donga","hiv_cpt",11
"78","2014Q3","Atacora-Donga","hiv_cpt",13
"79","2014Q2","Atacora-Donga","hiv_cpt",21
"80","2014Q1","Atacora-Donga","hiv_cpt",19
"81","2013Q4","Atacora-Donga","hiv_cpt",16
"82","2012Q1","Atacora-Donga","hiv_cpt",19
"83","2011Q1","Atacora-Donga","hiv_cpt",21
"84","2013Q1","Atacora-Donga","hiv_cpt",19
"85","2013Q2","Atacora-Donga","hiv_cpt",8
"86","2013Q3","Atacora-Donga","hiv_cpt",10
"87","2012Q4","Atacora-Donga","hiv_cpt",15
"88","2012Q3","Atacora-Donga","hiv_cpt",16
"89","2012Q2","Atacora-Donga","hiv_cpt",11
"90","2011Q3","Atacora-Donga","hiv_cpt",18
"91","2011Q2","Atacora-Donga","hiv_cpt",13
"92","2011Q4","Atacora-Donga","hiv_cpt",12
"93","2015Q4","Atacora-Donga","hiv_art",21
"94","2015Q3","Atacora-Donga","hiv_art",15
"95","2015Q2","Atacora-Donga","hiv_art",15
"96","2015Q1","Atacora-Donga","hiv_art",16
"97","2014Q4","Atacora-Donga","hiv_art",11
"98","2014Q3","Atacora-Donga","hiv_art",13
"99","2014Q2","Atacora-Donga","hiv_art",21
"100","2014Q1","Atacora-Donga","hiv_art",19
"101","2013Q4","Atacora-Donga","hiv_art",16
"102","2012Q1","Atacora-Donga","hiv_art",19
"103","2011Q1","Atacora-Donga","hiv_art",16
"104","2013Q1","Atacora-Donga","hiv_art",19
"105","2013Q2","Atacora-Donga","hiv_art",8
"106","2013Q3","Atacora-Donga","hiv_art",10
