variable_name,variable_type,description,source document
new_labconf,integer,"number of newly diagnosed, bacteriologically confirmed pulmonary tuberculosis cases notified in the period",From the TB health facility register
ret_rel_labconf,integer,number of relapsed bacteriologically confirmed pulmonary tuberculosis cases notified in the period,From the TB health facility register
ret_nrel_labconf,integer,number of retreated (excluding relapsed) bacteriologically confirmed pulmonary tuberculosis cases notified in the period,From the TB health facility register
oth_labconf,integer,number of other classified (including those with previous treatment history unknown) bacteriologically confirmed pulmonary tuberculosis cases notified in the period,From the TB health facility register
new_clindx,integer,"number of newly diagnosed, clinically diagnosed pulmonary tuberculosis cases notified in the period",From the TB health facility register
ret_rel_clindx,integer,number of relapsed clinically diagnosed pulmonary tuberculosis cases notified in the period,From the TB health facility register
ret_nrel_clindx,integer,number of retreated (excluding relapsed) clinically diagnosed pulmonary tuberculosis cases notified in the period,From the TB health facility register
oth_clindx,integer,number of other classified (including those with previous treatment history unknown) clinically diagnosed pulmonary tuberculosis cases notified in the period,From the TB health facility register
new_ep,integer,"number of newly diagnosed, extrapulmonary pulmonary tuberculosis cases notified in the period",From the TB health facility register
ret_rel_ep,integer,number of relapsed extrapulmonary pulmonary tuberculosis cases notified in the period,From the TB health facility register
ret_nrel_ep,integer,number of retreated (excluding relapsed) extrapulmonary pulmonary tuberculosis cases notified in the period,From the TB health facility register
oth_ep,integer,number of other classified (including those with previous treatment history unknown) extrapulmonary pulmonary tuberculosis cases notified in the period,From the TB health facility register
newrel_04m,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_514m,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_1524m,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_2534m,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_3544m,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_4554m,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_5564m,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_65m,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_04f,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_514f,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
newrel_1524f,integer,"number of new, relapse and previous history unknown cases notified, regardless of disease site, in the specific age and sex subgroup",From the TB health facility register
